Data,Fechamento
28/06/2024,62.22
27/06/2024,61.56
26/06/2024,61.4
25/06/2024,60.65
24/06/2024,60.9
21/06/2024,60.83
20/06/2024,61.4
19/06/2024,60.85
18/06/2024,60.66
17/06/2024,60.38
14/06/2024,60.62
13/06/2024,60.83
12/06/2024,60.14
11/06/2024,60.98
10/06/2024,61.07
07/06/2024,60.41
06/06/2024,61.21
05/06/2024,60.37
04/06/2024,61.24
03/06/2024,61.87
31/05/2024,63.2
29/05/2024,63.24
28/05/2024,63.89
27/05/2024,65.3
24/05/2024,65.08
23/05/2024,65.05
22/05/2024,65.44
21/05/2024,65.96
20/05/2024,66.15
17/05/2024,66.18
16/05/2024,64.91
15/05/2024,64.44
14/05/2024,64.63
13/05/2024,64.67
10/05/2024,64.29
09/05/2024,64.51
08/05/2024,63.99
07/05/2024,64.58
06/05/2024,64.18
03/05/2024,63.99
02/05/2024,63.92
30/04/2024,63.29
29/04/2024,63.9
26/04/2024,62.74
25/04/2024,62.22
24/04/2024,63.56
23/04/2024,62.78
22/04/2024,63.33
19/04/2024,63.36
18/04/2024,62.34
17/04/2024,62.11
16/04/2024,61.44
15/04/2024,61.99
12/04/2024,61.63
11/04/2024,61.86
10/04/2024,61.6
09/04/2024,62.55
08/04/2024,62.97
05/04/2024,59.71
04/04/2024,60.37
03/04/2024,61.05
02/04/2024,61.94
01/04/2024,61.22
28/03/2024,60.83
27/03/2024,60.6
26/03/2024,60.05
25/03/2024,60.82
22/03/2024,60.95
21/03/2024,61.66
20/03/2024,61.81
19/03/2024,61.4
18/03/2024,60.9
15/03/2024,59.76
14/03/2024,60.45
13/03/2024,61.23
12/03/2024,60.84
11/03/2024,61.22
08/03/2024,63.18
07/03/2024,63.67
06/03/2024,63.89
05/03/2024,63.03
04/03/2024,63.87
01/03/2024,64.01
29/02/2024,64.12
28/02/2024,63.88
27/02/2024,64.59
26/02/2024,62.93
23/02/2024,64.49
22/02/2024,64.34
21/02/2024,63.66
20/02/2024,63.18
19/02/2024,64.6
16/02/2024,64.78
15/02/2024,62.7
14/02/2024,62.9
09/02/2024,63.1
08/02/2024,63.37
07/02/2024,63.94
06/02/2024,63.81
05/02/2024,62.7
02/02/2024,63.25
01/02/2024,64.56
31/01/2024,64.86
30/01/2024,65.83
29/01/2024,66.21
26/01/2024,66.52
25/01/2024,65.43
24/01/2024,66.91
23/01/2024,66.24
22/01/2024,64.9
19/01/2024,65.18
18/01/2024,66.04
17/01/2024,66.47
16/01/2024,67.59
15/01/2024,68.48
12/01/2024,68.62
11/01/2024,69.5
10/01/2024,69.14
09/01/2024,70.19
08/01/2024,71.09
05/01/2024,71.45
04/01/2024,72.38
03/01/2024,73.37
02/01/2024,73.75
